"temperature","avg_ws"
"19.03","1005448.760000000000"
"19.05","1169773.850000000000"
"19.29","811318.300000000000"
"19.53","517719.895000000000"
"19.55","508520.090000000000"
"19.61","481119.600000000000"
"19.63","981978.020000000000"
"19.64","583364.020000000000"
"19.66","575317.380000000000"
"19.79","477409.300000000000"
"19.83","652122.440000000000"
"20.12","1872365.990000000000"
"20.28","873576.960000000000"
"20.38","591907.880000000000"
"20.39","1884345.010000000000"
"20.60","987587.835000000000"
"20.61","802203.150000000000"
"20.66","1284185.490000000000"
"20.67","1301185.280000000000"
"20.69","556550.850000000000"
"20.70","558963.830000000000"
"20.74","716388.810000000000"
"20.79","880798.583333333333"
"20.80","448391.990000000000"
"20.84","955338.290000000000"
"20.87","509804.185000000000"
"20.96","1507637.170000000000"
"21.02","1370562.110000000000"
"21.07","1067754.060000000000"
"21.10","677231.630000000000"
"21.13","704008.955000000000"
"21.18","615666.780000000000"
"21.33","1205307.500000000000"
"21.39","492721.850000000000"
"21.52","1249786.400000000000"
"21.60","1047707.590000000000"
"21.64","748379.400000000000"
"21.68","1181204.530000000000"
"21.69","1028206.510000000000"
"21.79","1430851.110000000000"
"21.81","1573982.470000000000"
"21.82","968694.450000000000"
"21.84","676877.050000000000"
"21.88","552811.620000000000"
"22.00","960645.830000000000"
"22.12","1308346.095000000000"
"22.16","736335.690000000000"
"22.20","580453.320000000000"
"22.30","1213486.950000000000"
"22.41","1167740.200000000000"
"22.43","1388725.630000000000"
"22.44","1052609.160000000000"
"22.47","926573.810000000000"
"22.49","955641.740000000000"
"22.50","679481.900000000000"
"22.52","1330451.460000000000"
"22.53","1515175.010000000000"
"22.55","891148.550000000000"
"22.62","999348.550000000000"
"22.65","964729.180000000000"
"22.69","777175.280000000000"
"22.80","1212967.840000000000"
"22.91","770157.290000000000"
"22.94","1133474.405000000000"
"22.96","2734277.100000000000"
"22.99","857899.075000000000"
"23.01","1179036.300000000000"
"23.04","1075656.340000000000"
"23.05","2238573.480000000000"
"23.11","789036.020000000000"
"23.21","1164800.125000000000"
"23.22","1536549.950000000000"
"23.24","1296658.470000000000"
"23.29","954576.860000000000"
"23.33","514731.600000000000"
"23.34","1129422.860000000000"
"23.35","1071069.830000000000"
"23.40","464189.090000000000"
"23.41","564536.010000000000"
"23.44","1237104.730000000000"
"23.46","651837.770000000000"
"23.63","880165.700000000000"
"23.64","1027200.665000000000"
"23.68","512260.590000000000"
"23.69","790468.680000000000"
"23.76","1153596.530000000000"
"23.78","1046416.170000000000"
"23.79","927732.020000000000"
"23.82","971932.870000000000"
"23.83","1225182.040000000000"
"23.87","594744.890000000000"
"23.89","1081005.640000000000"
"23.90","965788.760000000000"
"23.91","665861.060000000000"
"23.92","999785.480000000000"
"23.94","639830.450000000000"
"23.97","847294.040000000000"
"24.05","1041735.383333333333"
"24.07","2819193.170000000000"
"24.13","1052034.740000000000"
"24.16","748160.280000000000"
"24.18","1648829.180000000000"
"24.20","937522.770000000000"
"24.21","816138.330000000000"
"24.24","599730.070000000000"
"24.26","1243812.590000000000"
"24.27","2752122.080000000000"
"24.29","1150662.550000000000"
"24.30","1122053.580000000000"
"24.36","779636.120000000000"
"24.41","603041.140000000000"
"24.46","1601585.700000000000"
"24.48","944594.780000000000"
"24.50","900646.940000000000"
"24.69","1084243.910000000000"
"24.76","1291860.175000000000"
"24.78","1176557.425000000000"
"24.82","1383539.985000000000"
"24.83","513409.670000000000"
"24.91","496083.240000000000"
"25.01","1682368.320000000000"
"25.06","800714.000000000000"
"25.07","1368318.170000000000"
"25.12","1799070.980000000000"
"25.13","1049372.380000000000"
"25.17","3766687.430000000000"
"25.19","1001790.160000000000"
"25.24","939158.250000000000"
"25.30","1425253.360000000000"
"25.38","2211388.140000000000"
"25.40","521539.460000000000"
"25.43","2161549.760000000000"
"25.53","475905.100000000000"
"25.55","836305.650000000000"
"25.56","729014.615000000000"
"25.59","2263722.680000000000"
"25.61","1053662.260000000000"
"25.64","1416168.980000000000"
"25.69","559061.580000000000"
"25.70","1109989.700000000000"
"25.71","1037476.380000000000"
"25.73","1151993.850000000000"
"25.80","1173797.005000000000"
"25.89","623092.540000000000"
"25.90","837770.830000000000"
"25.91","1322852.200000000000"
"25.92","2401395.470000000000"
"25.94","1414107.100000000000"
"25.97","1959526.960000000000"
"26.01","648652.010000000000"
"26.04","1045124.880000000000"
"26.05","2678206.420000000000"
"26.09","1235121.330000000000"
"26.10","993810.970000000000"
"26.15","740592.475000000000"
"26.21","495720.300000000000"
"26.23","1556017.910000000000"
"26.26","864852.850000000000"
"26.28","856178.470000000000"
"26.39","725093.935000000000"
"26.41","1187880.700000000000"
"26.47","945267.680000000000"
"26.49","564538.070000000000"
"26.51","1341240.620000000000"
"26.54","475383.320000000000"
"26.58","1309226.790000000000"
"26.60","1364207.820000000000"
"26.62","755804.370000000000"
"26.64","1053247.100000000000"
"26.70","1319588.040000000000"
"26.73","777207.300000000000"
"26.79","775886.280000000000"
"26.80","650067.585000000000"
"26.83","1911967.440000000000"
"26.86","860962.910000000000"
"26.90","541037.980000000000"
"27.01","1365546.690000000000"
"27.03","620908.180000000000"
"27.11","1593012.750000000000"
"27.18","491179.790000000000"
"27.19","1552451.645000000000"
"27.25","480452.100000000000"
"27.26","633953.665000000000"
"27.28","506760.540000000000"
"27.31","1757079.730000000000"
"27.32","855385.010000000000"
"27.39","1239813.260000000000"
"27.40","1588430.710000000000"
"27.41","578002.850000000000"
"27.43","1781805.660000000000"
"27.49","1134767.280000000000"
"27.54","660838.750000000000"
"27.60","949075.870000000000"
"27.61","914759.200000000000"
"27.64","1198104.220000000000"
"27.65","1892775.940000000000"
"27.69","635014.690000000000"
"27.70","955463.840000000000"
"27.73","1125783.706666666667"
"27.74","2386015.750000000000"
"27.79","423380.140000000000"
"27.80","2587953.320000000000"
"27.81","1122034.480000000000"
"27.83","530492.840000000000"
"27.84","916289.200000000000"
"27.85","1535745.435000000000"
"27.86","979552.340000000000"
"27.89","1224915.660000000000"
"27.92","444181.850000000000"
"27.99","1663525.770000000000"
"28.06","917924.470000000000"
"28.09","1123566.120000000000"
"28.11","1286833.620000000000"
"28.13","946614.550000000000"
"28.14","776122.100000000000"
"28.16","1032277.766666666667"
"28.17","453979.190000000000"
"28.22","1537023.275000000000"
"28.24","1204807.830000000000"
"28.26","996147.390000000000"
"28.36","570816.340000000000"
"28.43","1040518.790000000000"
"28.49","833754.067500000000"
"28.50","618377.790000000000"
"28.57","1515976.110000000000"
"28.58","2351143.070000000000"
"28.60","770148.930000000000"
"28.64","445393.740000000000"
"28.65","1275146.940000000000"
"28.66","1015654.600000000000"
"28.70","1187838.920000000000"
"28.73","1377667.100000000000"
"28.82","527339.520000000000"
"28.84","1576909.875000000000"
"28.85","1799737.790000000000"
"28.89","798071.833333333333"
"28.99","1071598.360000000000"
"29.00","558794.630000000000"
"29.03","1028569.010000000000"
"29.04","574450.230000000000"
"29.09","985229.810000000000"
"29.11","1148624.830000000000"
"29.16","763741.595000000000"
"29.28","1433569.440000000000"
"29.30","474389.750000000000"
"29.36","749773.950000000000"
"29.44","1182694.950000000000"
"29.45","665750.060000000000"
"29.53","869248.375000000000"
"29.56","513181.310000000000"
"29.59","1008647.525000000000"
"29.67","1151436.330000000000"
"29.71","1012917.245000000000"
"29.76","1546685.915000000000"
"29.81","1713064.920000000000"
"29.87","564883.200000000000"
"29.88","701239.505000000000"
"29.97","1634635.860000000000"
"29.98","1045464.695000000000"
"29.99","769522.330000000000"
"30.01","843864.430000000000"
"30.10","756563.400000000000"
"30.13","1088465.985000000000"
"30.23","677108.233333333333"
"30.24","516087.650000000000"
"30.26","598502.830000000000"
"30.27","1086533.180000000000"
"30.30","1373430.515000000000"
"30.33","1373270.060000000000"
"30.34","542556.050000000000"
"30.35","1105990.545000000000"
"30.44","825584.220000000000"
"30.45","1247741.470000000000"
"30.46","1189110.620000000000"
"30.51","1477072.930000000000"
"30.53","684948.175000000000"
"30.54","1801441.800000000000"
"30.55","1193737.100000000000"
"30.58","954233.870000000000"
"30.59","2750774.240000000000"
"30.64","500552.160000000000"
"30.68","1305950.220000000000"
"30.72","1563912.425000000000"
"30.75","898610.330000000000"
"30.76","927084.650000000000"
"30.83","1375059.875000000000"
"30.87","466045.630000000000"
"30.91","1150663.420000000000"
"30.95","1424720.270000000000"
"31.05","1385362.490000000000"
"31.07","1282320.050000000000"
"31.10","963382.090000000000"
"31.11","2309025.160000000000"
"31.12","1272948.270000000000"
"31.19","494069.490000000000"
"31.27","1341035.603333333333"
"31.34","1813432.472500000000"
"31.36","1346994.530000000000"
"31.39","988729.730000000000"
"31.43","1843030.950000000000"
"31.44","603460.790000000000"
"31.51","1627904.680000000000"
"31.53","1120321.560000000000"
"31.56","1116295.240000000000"
"31.58","783300.050000000000"
"31.59","867985.375000000000"
"31.60","1512296.030000000000"
"31.62","1491577.473333333333"
"31.64","1345276.327500000000"
"31.65","1306996.830000000000"
"31.70","988950.750000000000"
"31.73","480353.640000000000"
"31.75","2119213.720000000000"
"31.76","887426.120000000000"
"31.77","484829.070000000000"
"31.79","605325.430000000000"
"31.82","544612.280000000000"
"31.84","866582.645000000000"
"31.85","1244752.765000000000"
"31.91","628218.220000000000"
"31.92","1057290.410000000000"
"31.96","765433.340000000000"
"32.02","715164.310000000000"
"32.23","840263.975000000000"
"32.24","589554.290000000000"
"32.30","1015196.460000000000"
"32.31","1151052.860000000000"
"32.32","1898193.950000000000"
"32.36","1098997.490000000000"
"32.41","1082598.110000000000"
"32.42","731633.865000000000"
"32.43","1927993.090000000000"
"32.44","1607864.485000000000"
"32.45","1593655.960000000000"
"32.46","1004730.690000000000"
"32.47","658984.380000000000"
"32.49","1063557.490000000000"
"32.56","664953.440000000000"
"32.61","982388.175000000000"
"32.63","527389.280000000000"
"32.65","501959.190000000000"
"32.68","1198709.650000000000"
"32.70","1088025.800000000000"
"32.71","1064277.300000000000"
"32.76","1230011.950000000000"
"32.81","1225700.280000000000"
"32.83","1161615.510000000000"
"32.86","1251581.890000000000"
"32.87","1209242.520000000000"
"32.92","1495844.570000000000"
"32.93","877724.310000000000"
"32.94","1166142.850000000000"
"32.99","1637994.425000000000"
"33.00","1549843.686666666667"
"33.02","1744193.580000000000"
"33.05","1265032.485000000000"
"33.06","649993.500000000000"
"33.09","997502.470000000000"
"33.11","1292724.900000000000"
"33.15","1195287.370000000000"
"33.16","1158895.295000000000"
"33.17","1055680.940000000000"
"33.18","561137.060000000000"
"33.19","2168041.610000000000"
"33.20","1938608.520000000000"
"33.21","651521.770000000000"
"33.24","541292.640000000000"
"33.26","1266564.940000000000"
"33.29","2187847.290000000000"
"33.32","863917.410000000000"
"33.33","922018.430000000000"
"33.34","994801.400000000000"
"33.35","1116829.230000000000"
"33.40","1088665.300000000000"
"33.41","1091822.720000000000"
"33.42","1964701.940000000000"
"33.43","511059.950000000000"
"33.45","934140.255000000000"
"33.47","2462978.280000000000"
"33.52","766692.410000000000"
"33.59","1047178.910000000000"
"33.60","1000582.060000000000"
"33.73","1197331.270000000000"
"33.79","484263.250000000000"
"33.80","1158936.048000000000"
"33.81","921700.610000000000"
"33.82","1403460.870000000000"
"33.90","1434908.130000000000"
"33.91","1352470.090000000000"
"33.92","1326370.080000000000"
"33.94","1167812.500000000000"
"33.96","752034.520000000000"
"33.98","1158722.740000000000"
"33.99","913755.120000000000"
"34.04","906891.440000000000"
"34.05","770228.020000000000"
"34.11","902109.690000000000"
"34.12","1264014.160000000000"
"34.13","555279.020000000000"
"34.14","867766.312500000000"
"34.19","2427640.170000000000"
"34.21","424083.990000000000"
"34.23","935614.430000000000"
"34.24","1148987.460000000000"
"34.27","537035.280000000000"
"34.30","1617025.410000000000"
"34.32","1146819.730000000000"
"34.41","1941676.610000000000"
"34.42","1108724.615000000000"
"34.43","1087616.190000000000"
"34.48","968572.895000000000"
"34.53","1292436.230000000000"
"34.54","1078348.910000000000"
"34.59","427855.240000000000"
"34.60","614764.310000000000"
"34.61","1044379.693333333333"
"34.68","836717.750000000000"
"34.70","1001512.210000000000"
"34.74","1457270.160000000000"
"34.77","947753.320000000000"
"34.78","727822.715000000000"
"34.80","1023167.585000000000"
"34.83","1308977.050000000000"
"34.86","1006814.850000000000"
"34.89","1418741.640000000000"
"34.90","1980500.720000000000"
"34.93","1182691.870000000000"
"34.95","2072685.050000000000"
"34.98","642776.400000000000"
"34.99","1229257.700000000000"
"35.04","1315684.860000000000"
"35.06","861460.210000000000"
"35.10","899352.400000000000"
"35.18","1200892.560000000000"
"35.21","1525146.580000000000"
"35.23","2057059.530000000000"
"35.25","890130.250000000000"
"35.26","893613.000000000000"
"35.30","883823.205000000000"
"35.34","807286.873333333333"
"35.36","1213994.390000000000"
"35.38","1122704.915000000000"
"35.40","1201167.570000000000"
"35.42","1068157.450000000000"
"35.44","956228.960000000000"
"35.47","2416051.170000000000"
"35.49","870415.490000000000"
"35.51","613501.050000000000"
"35.52","1516924.230000000000"
"35.59","1177500.606666666667"
"35.68","690683.647500000000"
"35.70","1119115.470000000000"
"35.71","1021400.420000000000"
"35.73","1163803.300000000000"
"35.75","459756.110000000000"
"35.76","683023.385000000000"
"35.77","873065.230000000000"
"35.78","1497273.020000000000"
"35.80","1103497.745000000000"
"35.86","477395.015000000000"
"35.88","1286613.005000000000"
"35.89","1156826.310000000000"
"35.92","3676388.980000000000"
"35.98","694089.545000000000"
"36.00","1197678.847500000000"
"36.01","643155.890000000000"
"36.04","713601.815000000000"
"36.07","1482929.530000000000"
"36.09","2480159.470000000000"
"36.13","955566.825000000000"
"36.16","424670.980000000000"
"36.19","490503.690000000000"
"36.22","1345311.650000000000"
"36.24","1150729.890000000000"
"36.25","812100.653333333333"
"36.26","454183.420000000000"
"36.28","767202.095000000000"
"36.31","782252.570000000000"
"36.32","855459.960000000000"
"36.33","847241.967500000000"
"36.34","1037861.110000000000"
"36.35","2043245.000000000000"
"36.37","1906713.350000000000"
"36.39","1301729.890000000000"
"36.40","1841173.600000000000"
"36.43","458086.690000000000"
"36.44","2771397.170000000000"
"36.45","1509065.460000000000"
"36.46","817661.760000000000"
"36.50","826483.845000000000"
"36.51","1101458.210000000000"
"36.53","1029849.200000000000"
"36.54","1132064.230000000000"
"36.56","1290532.970000000000"
"36.57","1267584.135000000000"
"36.59","1076021.580000000000"
"36.60","1054334.170000000000"
"36.61","414094.050000000000"
"36.62","1377322.730000000000"
"36.64","1423052.990000000000"
"36.65","944523.300000000000"
"36.67","1051864.600000000000"
"36.70","1027127.890000000000"
"36.71","1021616.360000000000"
"36.73","971396.153333333333"
"36.74","1130700.235000000000"
"36.75","1099937.250000000000"
"36.78","1369860.815000000000"
"36.82","772144.575000000000"
"36.84","472450.810000000000"
"36.85","1439702.370000000000"
"36.86","1080012.040000000000"
"36.88","1158693.120000000000"
"36.89","2007105.860000000000"
"36.90","889670.290000000000"
"36.93","2168344.230000000000"
"36.94","848521.170000000000"
"36.96","926128.925000000000"
"36.97","545120.670000000000"
"36.99","1253289.605000000000"
"37.00","1440456.680000000000"
"37.02","1274463.020000000000"
"37.07","1852179.150000000000"
"37.08","1049392.960000000000"
"37.09","1211026.130000000000"
"37.13","1302216.716666666667"
"37.16","2762816.650000000000"
"37.17","1179738.500000000000"
"37.19","1761016.510000000000"
"37.21","1208191.610000000000"
"37.24","1215394.975000000000"
"37.25","1123446.510000000000"
"37.27","1243256.382500000000"
"37.28","1054719.375000000000"
"37.29","669205.730000000000"
"37.30","1082158.210000000000"
"37.33","2143424.610000000000"
"37.35","1303233.150000000000"
"37.43","1003911.455000000000"
"37.44","643711.530000000000"
"37.47","737834.185000000000"
"37.49","558691.430000000000"
"37.51","841547.590000000000"
"37.52","927657.630000000000"
"37.62","1054216.603333333333"
"37.64","899785.750000000000"
"37.65","630327.280000000000"
"37.72","1066566.740000000000"
"37.74","260636.710000000000"
"37.75","383550.930000000000"
"37.77","807185.887500000000"
"37.78","946091.790000000000"
"37.79","1565021.053333333333"
"37.85","1277627.575000000000"
"37.86","1250692.245000000000"
"37.91","847592.110000000000"
"37.93","1109721.955000000000"
"37.95","1204628.280000000000"
"38.01","549505.550000000000"
"38.02","520850.710000000000"
"38.04","439276.500000000000"
"38.07","1238169.995000000000"
"38.09","1794868.740000000000"
"38.10","1133813.735000000000"
"38.15","1358816.460000000000"
"38.16","1320689.765000000000"
"38.24","1144941.945000000000"
"38.25","1120468.385000000000"
"38.26","561145.140000000000"
"38.29","1100625.060000000000"
"38.34","1886393.940000000000"
"38.36","983963.070000000000"
"38.37","1306194.550000000000"
"38.40","1002714.250000000000"
"38.42","634637.030000000000"
"38.49","2137809.500000000000"
"38.50","935481.320000000000"
"38.51","1105986.100000000000"
"38.53","764565.550000000000"
"38.59","1310701.800000000000"
"38.61","1249696.970000000000"
"38.64","1136979.476666666667"
"38.65","1401547.985000000000"
"38.69","916446.020000000000"
"38.70","493503.890000000000"
"38.71","2180999.260000000000"
"38.77","706150.720000000000"
"38.80","696314.530000000000"
"38.89","1586649.810000000000"
"38.97","1077841.315000000000"
"38.99","774490.920000000000"
"39.00","675483.880000000000"
"39.05","910984.816666666667"
"39.06","1467889.200000000000"
"39.07","1427023.450000000000"
"39.08","972663.590000000000"
"39.10","963960.370000000000"
"39.11","1094979.495000000000"
"39.16","811855.720000000000"
"39.17","1106847.620000000000"
"39.18","1428436.330000000000"
"39.26","782256.660000000000"
"39.28","910899.050000000000"
"39.30","457340.060000000000"
"39.32","1179909.156666666667"
"39.34","1862476.270000000000"
"39.38","1230774.790000000000"
"39.39","1203399.640000000000"
"39.42","936596.555000000000"
"39.46","863266.120000000000"
"39.51","1063286.640000000000"
"39.53","1291522.130000000000"
"39.57","891025.390000000000"
"39.62","1447301.240000000000"
"39.63","619639.740000000000"
"39.68","881930.870000000000"
"39.69","2124451.540000000000"
"39.70","317173.100000000000"
"39.75","948231.335000000000"
"39.79","1582000.745000000000"
"39.81","787705.706666666667"
"39.83","1439916.535000000000"
"39.87","1123900.815000000000"
"39.88","1093319.370000000000"
"39.89","950154.240000000000"
"39.90","1124537.970000000000"
"39.91","1762539.300000000000"
"39.93","1685343.406000000000"
"39.94","861117.460000000000"
"39.97","498241.060000000000"
"39.98","1487053.095000000000"
"40.01","659950.360000000000"
"40.05","660619.990000000000"
"40.07","890449.340000000000"
"40.08","1077640.130000000000"
"40.11","1158417.590000000000"
"40.14","806979.150000000000"
"40.18","1713769.060000000000"
"40.19","2269288.250000000000"
"40.20","1063960.110000000000"
"40.22","1684468.660000000000"
"40.23","1099910.230000000000"
"40.26","843848.650000000000"
"40.29","779780.465000000000"
"40.30","1192652.870000000000"
"40.31","1928720.510000000000"
"40.32","1257972.370000000000"
"40.34","1227893.890000000000"
"40.43","1652635.100000000000"
"40.47","611796.610000000000"
"40.50","1556627.620000000000"
"40.52","852452.930000000000"
"40.54","894865.300000000000"
"40.56","904503.850000000000"
"40.57","1606283.860000000000"
"40.58","725823.550000000000"
"40.59","1046099.070000000000"
"40.60","1814240.850000000000"
"40.65","938682.965714285714"
"40.68","1344808.530000000000"
"40.69","851762.280000000000"
"40.70","1410642.540000000000"
"40.71","1120018.920000000000"
"40.74","368600.000000000000"
"40.75","1037687.070000000000"
"40.81","1653759.360000000000"
"40.82","986601.460000000000"
"40.85","1142133.175000000000"
"40.88","718393.610000000000"
"40.93","1364500.286666666667"
"40.94","595382.225000000000"
"40.99","475770.140000000000"
"41.04","991570.020000000000"
"41.10","1066478.100000000000"
"41.11","1192560.245000000000"
"41.12","945889.590000000000"
"41.13","1309476.680000000000"
"41.14","1221356.485000000000"
"41.16","462007.760000000000"
"41.18","1186431.900000000000"
"41.19","1258364.310000000000"
"41.20","1244956.910000000000"
"41.25","882180.910000000000"
"41.26","910841.405000000000"
"41.28","1068464.360000000000"
"41.30","1058767.120000000000"
"41.31","1697744.280000000000"
"41.36","1925728.840000000000"
"41.37","655318.260000000000"
"41.39","822687.860000000000"
"41.40","1751384.900000000000"
"41.41","372673.610000000000"
"41.42","719008.840000000000"
"41.43","510442.080000000000"
"41.44","963762.363333333333"
"41.47","773586.490000000000"
"41.48","1079187.735000000000"
"41.50","1250786.960000000000"
"41.55","1354400.500000000000"
"41.57","527402.620000000000"
"41.59","2144616.885000000000"
"41.64","2546123.780000000000"
"41.66","1414641.570000000000"
"41.67","329613.200000000000"
"41.72","934134.737500000000"
"41.74","1215610.173333333333"
"41.76","1550653.702500000000"
"41.78","1435379.250000000000"
"41.80","1316542.590000000000"
"41.81","1568017.250000000000"
"41.82","490981.780000000000"
"41.83","1133320.760000000000"
"41.85","905399.990000000000"
"41.89","671368.310000000000"
"41.92","1779276.510000000000"
"41.93","1086661.020000000000"
"41.97","1065044.600000000000"
"42.00","1104858.215000000000"
"42.05","1089530.940000000000"
"42.06","822668.230000000000"
"42.09","1376767.430000000000"
"42.11","648606.130000000000"
"42.15","1214339.820000000000"
"42.16","1144854.560000000000"
"42.17","1030690.796666666667"
"42.20","1285358.010000000000"
"42.24","1060770.110000000000"
"42.26","921247.880000000000"
"42.27","2165885.520000000000"
"42.30","1335317.325000000000"
"42.31","1476515.530000000000"
"42.36","1368471.230000000000"
"42.38","1426780.840000000000"
"42.39","1138800.320000000000"
"42.40","2302504.860000000000"
"42.43","1059781.780000000000"
"42.44","474964.600000000000"
"42.45","1285897.240000000000"
"42.46","658691.560000000000"
"42.47","1069061.630000000000"
"42.49","1073792.997500000000"
"42.52","1155573.525000000000"
"42.53","495543.280000000000"
"42.54","818434.490000000000"
"42.55","1110937.210000000000"
"42.57","1407191.960000000000"
"42.58","1524222.190000000000"
"42.61","1181651.550000000000"
"42.62","1993367.830000000000"
"42.63","676290.460000000000"
"42.64","1227148.130000000000"
"42.65","737921.520000000000"
"42.70","976393.430000000000"
"42.72","791324.552500000000"
"42.74","1305505.975000000000"
"42.75","1384870.143333333333"
"42.76","1185391.960000000000"
"42.78","2184316.640000000000"
"42.81","863655.655000000000"
"42.83","1695371.680000000000"
"42.85","915540.750000000000"
"42.86","1310860.896666666667"
"42.87","714122.250000000000"
"42.91","880742.350000000000"
"42.95","2258616.240000000000"
"42.96","1317370.655000000000"
"43.01","872716.575000000000"
"43.06","511327.900000000000"
"43.07","404751.250000000000"
"43.15","755479.066666666667"
"43.17","1081322.120000000000"
"43.19","1147503.920000000000"
"43.21","3526713.390000000000"
"43.26","491817.190000000000"
"43.29","884512.407500000000"
"43.30","882636.960000000000"
"43.32","1018541.300000000000"
"43.33","956458.273333333333"
"43.38","710040.275000000000"
"43.39","891759.520000000000"
"43.41","549788.360000000000"
"43.43","981745.624000000000"
"43.45","614940.070000000000"
"43.47","1099626.290000000000"
"43.49","1421316.713333333333"
"43.51","1106340.633333333333"
"43.52","558585.130000000000"
"43.57","825670.770000000000"
"43.58","1567138.070000000000"
"43.60","1232427.795000000000"
"43.61","436221.260000000000"
"43.64","1449082.100000000000"
"43.67","547563.130000000000"
"43.68","663529.640000000000"
"43.69","863791.390000000000"
"43.74","1015128.880000000000"
"43.76","2135143.870000000000"
"43.78","665007.080000000000"
"43.80","1200815.300000000000"
"43.81","658965.050000000000"
"43.82","1671820.676666666667"
"43.83","895336.290000000000"
"43.85","1088415.545000000000"
"43.86","885608.040000000000"
"43.88","2284106.600000000000"
"43.90","463561.480000000000"
"43.92","1331469.516666666667"
"43.93","1799682.380000000000"
"43.95","435397.190000000000"
"43.96","1230591.970000000000"
"44.03","609736.120000000000"
"44.04","1051753.931666666667"
"44.10","608200.810000000000"
"44.12","367433.770000000000"
"44.13","480239.880000000000"
"44.20","655157.320000000000"
"44.22","1377593.100000000000"
"44.24","797405.380000000000"
"44.25","1288823.720000000000"
"44.29","621425.980000000000"
"44.30","1230596.800000000000"
"44.32","1201847.380000000000"
"44.34","763945.565000000000"
"44.42","956922.448571428571"
"44.43","905324.680000000000"
"44.46","1137289.025000000000"
"44.47","993311.590000000000"
"44.50","279088.390000000000"
"44.55","1497462.720000000000"
"44.56","737713.395000000000"
"44.57","1413778.985000000000"
"44.58","1266229.070000000000"
"44.61","1319669.356666666667"
"44.62","1277758.760000000000"
"44.64","908113.983333333333"
"44.69","1121476.230000000000"
"44.70","1273670.320000000000"
"44.72","454021.690000000000"
"44.73","791356.900000000000"
"44.76","381061.100000000000"
"44.80","1931668.640000000000"
"44.81","719235.070000000000"
"44.82","919878.340000000000"
"44.83","1437916.115000000000"
"44.86","1107494.550000000000"
"44.88","1216940.430000000000"
"44.90","370230.940000000000"
"44.96","888485.120000000000"
"44.97","1480289.640000000000"
"44.98","924796.485000000000"
"44.99","583322.200000000000"
"45.00","765405.605000000000"
"45.01","1322559.700000000000"
"45.03","1015291.425000000000"
"45.12","1079007.286666666667"
"45.14","1004435.750000000000"
"45.16","845515.253333333333"
"45.17","444718.680000000000"
"45.19","1044639.690000000000"
"45.22","1118030.010000000000"
"45.23","974907.280000000000"
"45.25","1312749.895000000000"
"45.26","1344346.320000000000"
"45.27","718470.710000000000"
"45.29","969904.885000000000"
"45.31","855427.453333333333"
"45.32","1819870.000000000000"
"45.33","1303055.090000000000"
"45.34","1194449.780000000000"
"45.35","983776.390000000000"
"45.38","465198.890000000000"
"45.40","1277844.316666666667"
"45.41","275313.340000000000"
"45.42","1087507.470000000000"
"45.45","1115138.510000000000"
"45.47","1259414.520000000000"
"45.48","1345631.960000000000"
"45.50","1642994.510000000000"
"45.51","1263680.510000000000"
"45.52","1191995.570000000000"
"45.54","589842.690000000000"
"45.55","1119809.710000000000"
"45.56","927610.690000000000"
"45.61","859888.930000000000"
"45.62","782284.585000000000"
"45.63","1265629.220000000000"
"45.64","791927.060000000000"
"45.65","1421215.765000000000"
"45.66","620931.936666666667"
"45.67","1231792.710000000000"
"45.68","2045396.060000000000"
